SP;Sentence1;Sentence2;X (Human ratings of semanticsimilarity);S;Corpus-based method;Corpus statistic method
66;Would you like to go out to drink with me tonight?;I really don't know what to eat tonight so I might go out somewhere.;1.01;0,053472222;0,559027778;0,482638889
67;I advise you to treat this matter very seriously as it is vital.;You must take this most seriously, it will affect you.;3.38;0,047916667;3.25;0,730555556
68;When I was going out to meet my friends there was a delay at the train station.;The train operator announced to the passengers that the train would be delayed.;3.13;0,047222222;0,249305556;2.031
69;Does music help you to relax, or does it distract you too much?;Does this sponge look wet or dry to you?;0.01;0.29;0,299305556;0,303472222
70;You must realise that you will definitely be punished if you play with the alarm.;He will be harshly punished for setting the fire alarm off.;0,141666667;0,060416667;3.04;0,761111111
71;I will make you laugh so much that your sides ache.;When I tell you this you will split your sides laughing.;0,177083333;0.38;2.35;0,749305556
72;You shouldn't be covering what you really feel.;There is no point in covering up what you said, we all know.;2.21;0,067361111;4.00;4.031
73;Do you want to come with us to the pub behind the hill?;We are going out for drinks tonight in Salford Quays if you would like to come.;0,098611111;1.09;3.02;0,107638889
74;This key doesn't seem to be working, could you give me another?;I dislike the word quay, it confuses me, I always think of things for locks, there's another one.;0,05;0,060416667;0,675694444;2.017
75;The ghost appeared from nowhere and frightened the old man.;The ghost of Queen Victoria appears to me every night, I don't know why, I don't even like the royals.;1.45;0,052083333;4.00;0,269444444
76;You're not a good friend if you're not prepared to be present when I need you.;A good friend always seems to be present when you need them.;3.14;0,065277778;4.00;0,68125
77;The children crossed the road very safely thanks to the help of the lollipop lady.;It was feared that the child might not recover, because he was seriously ill.;0.13;0.29;0,559027778;0,521527778
78;I have invited a variety of people to my party so it should be interesting.;A number of invitations were given out to a variety of people inviting them down the pub.;2.18;0,061111111;0,313194444;0,282638889
79;I offer my condolences to the parents of John Smith, who was unfortunately murdered.;I express my sympathy to John Smith’s parents following his murder.;0,188194444;0.23;0,259027778;0,565972222
80;Boats come in all shapes and sizes but they all do the same thing.;Chairs can be comfy and not comfy, depending on the chair.;0.05;0,047916667;0,051388889;0,179861111
81;If you continuously use these products, I guarantee you will look very young.;I assure you that, by using these products consistently over a long period of time, you will appear really young.;3.58;0.57;0,478472222;0,233333333
82;We ran farther than the other children that day.;You ran farther than anyone today.;2.43;1.06;4.00;0,219444444
83;I always like to have a slice of lemon in my drink especially if it's Coke.;I like to put a wedge of lemon in my drinks, especially cola.;0,18125;0.55;3.036;0,197916667
84;It seems like I've got eczema on my ear doctor, can you recommend something for me?;I had to go to a chemist for a special rash cream for my ear.;2.05;0.09;0,244444444;2.02
85;I am proud of our nation, well, most of it.;I think of myself as being part of a nation.;0,090972222;1.03;0,73125;0,293055556
86;There was a heap of rubble left by the builders outside my house this morning.;Sometimes in a large crowd accidents may happen, which can cause deadly injuries.;0.09;0.27;0,152083333;0,413888889
